TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
07.06.2000 00:00:00;40;-330;-16218.0967;3;0;0.1;-0.1057;-13068.0
21.06.2000 00:00:00;16;228;16825.3893;3;0;0.33;0.1153;14523.6002
21.06.2000 00:00:00;23;-253;-22981.4817;3;0;0.0139;-0.1708;-21505
21.06.2000 00:00:00;40;226;-19615.9047;3;0;0.2;0.0840;10576.8
21.06.2000 00:00:00;31;-91;-44802.1565;2;0;0;-0.0975;-12279.5402
21.06.2000 00:00:00;1;163;16825.3893;3;0;0.33;0.1382;17403.0207
29.06.2000 00:00:00;39;-209;-14714.4744;3;0;0.1;-0.1137;-11386.32
29.06.2000 00:00:00;16;-314;-25028.5200;3;0;0.165;-0.1533;-15354.6005
19.07.2000 00:00:00;39;183;-17208.2637;3;0;0.2;0.0999;11106.27
19.07.2000 00:00:00;23;-20;-47713.4079;2;0;0;-0.0160;-1775.00
19.07.2000 00:00:00;16;42;-44347.6986;3;0;0.2;0.0221;2456.5801
19.07.2000 00:00:00;40;-304;-14067.1834;3;0;0.1;-0.1296;-14409.6
27.07.2000 00:00:00;39;-181;-12233.2043;3;0;0.1;-0.0975;-9752.28
27.07.2000 00:00:00;16;-158;-12233.2043;3;0;0.1;-0.0711;-7110
31.07.2000 00:00:00;39;-185;-34471.3412;2;0;0;-0.0951;-9514.55
31.07.2000 00:00:00;16;-222;-34471.3412;2;0;0;-0.1060;-10613.8203
02.08.2000 00:00:00;39;208;9966.0956;1;0;0.1;0.0998;9948.64
02.08.2000 00:00:00;8;199;9966.0956;1;0;0.1;0.0998;9950
02.08.2000 00:00:00;7;101;9966.0956;1;0;0.1;0.0993;9898
02.08.2000 00:00:00;20;175;9966.0956;1;0;0.1;0.0997;9931.25
02.08.2000 00:00:00;40;-234;-39253.4352;2;0;0;-0.0966;-9629.10
02.08.2000 00:00:00;15;250;9966.0956;1;0;0.1;0.0997;9937.50
16.08.2000 00:00:00;15;248;10318.8188;3;0;0.2;0.0995;10093.6002
16.08.2000 00:00:00;1;-237;-24822.2611;3;0;0.165;-0.2570;-26070
23.08.2000 00:00:00;27;194;10096.5576;1;0;0.1;0.0999;10088
