TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur;TicketFee
02.08.2004 00:00:00;428186;-530;-18375;3;0;0.10115;-0.1011;-18377.8560;50
05.08.2004 00:00:00;404093;-573;-8016;2;0;0;-0.0418;-8029.7085;50
09.08.2004 00:00:00;428186;-247;-8419;3;0;0.05;-0.0436;-8438.261;50
19.08.2004 00:00:00;428186;-10;-332;3;0;0.05;-0.0018;-353.4720;50
26.08.2004 00:00:00;428186;-273;-9620;2;0;0;-0.0496;-9620.247;50
30.09.2004 00:00:00;430770;-3967;-6984;3;0;0.05;-0.0352;-6984.1549;50
12.10.2004 00:00:00;405518;-99;-337;3;0;0.05;-0.0017;-337.5124;50
18.10.2004 00:00:00;402669;-894;-9720;2;0;0;-0.0500;-9720.1178;50
20.10.2004 00:00:00;424978;-1874;-8938;2;0;0;-0.0484;-8938.3400;50
20.10.2004 00:00:00;414331;-793;-713;3;0;0.05;-0.0039;-713.4326;50
20.10.2004 00:00:00;414510;-261;-8344;2;0;0;-0.0452;-8344.1223;50
27.10.2004 00:00:00;414331;-10263;-9227;2;0;0;-0.0452;-9227.1237;50
11.11.2004 00:00:00;427936;-2427;-9094;2;0;0;-0.0434;-9094.1893;50
11.01.2005 00:00:00;404048;-5597;-33385;3;0;0.17185;-0.1719;-33386.9605;50
13.01.2005 00:00:00;411736;-441;-9524;2;0;0;-0.0492;-9545.2518;50
10.02.2005 00:00:00;433011;-23974;-8910;2;0;0;-0.0454;-8910.2348;50
04.04.2005 00:00:00;411048;-47;-2300;3;0;0.05;-0.0122;-2322.8207;50
11.04.2005 00:00:00;411048;-193;-9312;2;0;0;-0.0469;-9360.3879;50
18.04.2005 00:00:00;429963;-180;-8630;2;0;0;-0.0457;-8630.1370;50
18.04.2005 00:00:00;432238;-5850;-8589;2;0;0;-0.0455;-8589.2654;50
28.04.2005 00:00:00;404093;-346;-9042;2;0;0;-0.0483;-9067.7252;50
