PortfolioAsof;PortfolioValue;AllocationToRisk
22.08.2000 00:00:00;149095.4483;0.9841
23.08.2000 00:00:00;150335.5452;0.9842
24.08.2000 00:00:00;149436.9599;0.9877
28.08.2000 00:00:00;152014.4493;0.9879
29.08.2000 00:00:00;151326.8335;0.9879
30.08.2000 00:00:00;152444.7888;0.9880
31.08.2000 00:00:00;157308.1751;0.9903
04.09.2000 00:00:00;160106.3828;0.9904
05.09.2000 00:00:00;160336.3043;0.9905
06.09.2000 00:00:00;159362.7587;0.9904
07.09.2000 00:00:00;159887.1335;0.9941
11.09.2000 00:00:00;163417.7259;0.9942
12.09.2000 00:00:00;163425.8627;0.9942
13.09.2000 00:00:00;163182.3201;0.9942
14.09.2000 00:00:00;162399.3650;0.9942
18.09.2000 00:00:00;152737.9931;0.9938
19.09.2000 00:00:00;154208.5702;0.9939
20.09.2000 00:00:00;153688.8802;0.9939
21.09.2000 00:00:00;150327.7460;0.9803
25.09.2000 00:00:00;148034.4873;0.9800
26.09.2000 00:00:00;150591.4795;0.9803
27.09.2000 00:00:00;154689.0731;0.9809
28.09.2000 00:00:00;153774.3450;0.5730
02.10.2000 00:00:00;155464.9867;0.5777
03.10.2000 00:00:00;155439.1812;0.5776
04.10.2000 00:00:00;155110.4058;0.5767
05.10.2000 00:00:00;155813.2305;0.5786
09.10.2000 00:00:00;153286.7046;0.5717
10.10.2000 00:00:00;154483.9033;0.5750
11.10.2000 00:00:00;156562.5315;0.5806
12.10.2000 00:00:00;156492.5402;0
16.10.2000 00:00:00;156492.5402;0
17.10.2000 00:00:00;156492.5402;0
18.10.2000 00:00:00;156492.5402;0
19.10.2000 00:00:00;156492.5402;0
23.10.2000 00:00:00;156492.5402;0
24.10.2000 00:00:00;156492.5402;0
25.10.2000 00:00:00;156492.5402;0
26.10.2000 00:00:00;156208.5793;0.6020
30.10.2000 00:00:00;159039.6664;0.6091
31.10.2000 00:00:00;159205.1118;0.6095
01.11.2000 00:00:00;157262.1221;0.6047
02.11.2000 00:00:00;154640.1211;0.9772
06.11.2000 00:00:00;154811.3358;0.9772
07.11.2000 00:00:00;155763.0496;0.9773
08.11.2000 00:00:00;156279.3261;0.9774
09.11.2000 00:00:00;155901.8220;0.9774
13.11.2000 00:00:00;151328.9666;0.9767
14.11.2000 00:00:00;153234.7491;0.9321
15.11.2000 00:00:00;154832.0546;0.9328
16.11.2000 00:00:00;155261.5524;0.9988
20.11.2000 00:00:00;155246.9964;0.9988
21.11.2000 00:00:00;154535.3694;0.9988
22.11.2000 00:00:00;153080.3575;0.9988
23.11.2000 00:00:00;152796.0575;0.8090
27.11.2000 00:00:00;152594.2309;0.8088
28.11.2000 00:00:00;152432.5472;0.8086
29.11.2000 00:00:00;154108.6156;0.8107
30.11.2000 00:00:00;153590.3321;0.6086
04.12.2000 00:00:00;151261.0144;0.6026
05.12.2000 00:00:00;151471.6848;0.6032
06.12.2000 00:00:00;150941.0730;0.6018
07.12.2000 00:00:00;151497.6799;0.2043
