Asof;Cash
12.04.2000 00:00:00;-22629.9970
12.04.2000 00:00:00;-15164.2270
12.04.2000 00:00:00;-9033.3485
12.04.2000 00:00:00;-2636.1578
12.04.2000 00:00:00;3687.4622
26.04.2000 00:00:00;5089.9521
26.04.2000 00:00:00;10604.2957
26.04.2000 00:00:00;4239.5963
26.04.2000 00:00:00;-2126.2368
26.04.2000 00:00:00;-8492.0699
26.04.2000 00:00:00;-14857.5451
26.04.2000 00:00:00;-21205.2095
26.04.2000 00:00:00;-26551.0393
26.04.2000 00:00:00;-32906.7995
26.04.2000 00:00:00;-39220.5995
26.04.2000 00:00:00;-45563.0526
26.04.2000 00:00:00;-51909.9035
26.04.2000 00:00:00;-45945.3118
26.04.2000 00:00:00;-39869.2997
26.04.2000 00:00:00;-34466.3652
26.04.2000 00:00:00;-28323.0730
26.04.2000 00:00:00;-21702.1887
26.04.2000 00:00:00;-15616.4793
26.04.2000 00:00:00;-9779.6683
26.04.2000 00:00:00;-3680.6714
26.04.2000 00:00:00;2666.1795
03.05.2000 00:00:00;4194.5250
03.05.2000 00:00:00;-2475.8742
03.05.2000 00:00:00;-9094.9860
03.05.2000 00:00:00;-15751.3939
03.05.2000 00:00:00;-9746.0877
03.05.2000 00:00:00;-4548.3179
03.05.2000 00:00:00;2108.0900
09.05.2000 00:00:00;6161.8061
10.05.2000 00:00:00;7095.2376
10.05.2000 00:00:00;13170.8105
10.05.2000 00:00:00;13611.2457
10.05.2000 00:00:00;14302.4596
10.05.2000 00:00:00;8088.3358
10.05.2000 00:00:00;1862.6826
10.05.2000 00:00:00;-4367.5134
10.05.2000 00:00:00;-10587.0466
10.05.2000 00:00:00;-16810.3751
10.05.2000 00:00:00;-23029.0337
10.05.2000 00:00:00;-29258.9790
10.05.2000 00:00:00;-35483.9557
10.05.2000 00:00:00;-30243.2978
10.05.2000 00:00:00;-23864.5078
10.05.2000 00:00:00;-17771.3871
10.05.2000 00:00:00;-11675.7638
10.05.2000 00:00:00;-12116.1990
10.05.2000 00:00:00;-5408.0323
10.05.2000 00:00:00;-11483.6052
10.05.2000 00:00:00;-5408.0323
10.05.2000 00:00:00;-6341.4638
10.05.2000 00:00:00;863.4604
18.05.2000 00:00:00;7016.1833
22.05.2000 00:00:00;13041.7760
23.05.2000 00:00:00;13307.8107
24.05.2000 00:00:00;13571.3199
24.05.2000 00:00:00;19531.5242
24.05.2000 00:00:00;25404.1797
24.05.2000 00:00:00;26507.3050
24.05.2000 00:00:00;20454.0048
24.05.2000 00:00:00;14408.0607
24.05.2000 00:00:00;8372.2136
24.05.2000 00:00:00;2329.2268
24.05.2000 00:00:00;-3713.1166
24.05.2000 00:00:00;-9767.0958
24.05.2000 00:00:00;-15818.1246
24.05.2000 00:00:00;-21859.7363
24.05.2000 00:00:00;-26920.1962
24.05.2000 00:00:00;-21316.2868
24.05.2000 00:00:00;-22419.4121
24.05.2000 00:00:00;-15209.7005
24.05.2000 00:00:00;-21082.3560
24.05.2000 00:00:00;-15209.7005
24.05.2000 00:00:00;-8996.0607
24.05.2000 00:00:00;-3650.9549
24.05.2000 00:00:00;1409.5050
25.05.2000 00:00:00;7452.8366
25.05.2000 00:00:00;7699.6831
29.05.2000 00:00:00;13599.6975
05.06.2000 00:00:00;20405.8348
05.06.2000 00:00:00;21496.5049
06.06.2000 00:00:00;27197.7227
06.06.2000 00:00:00;27353.9203
06.06.2000 00:00:00;27527.2923
07.06.2000 00:00:00;32634.1234
07.06.2000 00:00:00;38419.1593
07.06.2000 00:00:00;44196.5617
07.06.2000 00:00:00;49395.8605
07.06.2000 00:00:00;43659.2601
07.06.2000 00:00:00;37899.0523
07.06.2000 00:00:00;32104.3053
07.06.2000 00:00:00;26327.4891
07.06.2000 00:00:00;20557.9936
07.06.2000 00:00:00;14769.6492
07.06.2000 00:00:00;8974.0100
07.06.2000 00:00:00;3247.9310
07.06.2000 00:00:00;-2509.1504
07.06.2000 00:00:00;-7490.3883
07.06.2000 00:00:00;-13280.5873
07.06.2000 00:00:00;-19064.8936
07.06.2000 00:00:00;-24862.0120
07.06.2000 00:00:00;-30642.4104
07.06.2000 00:00:00;-24996.3204
07.06.2000 00:00:00;-19154.1775
07.06.2000 00:00:00;-12852.7291
07.06.2000 00:00:00;-18052.0279
07.06.2000 00:00:00;-12852.7291
07.06.2000 00:00:00;-18630.1315
07.06.2000 00:00:00;-12852.7291
07.06.2000 00:00:00;-7432.9129
07.06.2000 00:00:00;-13217.9488
07.06.2000 00:00:00;-7432.9129
07.06.2000 00:00:00;-952.3535
07.06.2000 00:00:00;4828.0449
15.06.2000 00:00:00;10447.5819
21.06.2000 00:00:00;7412.9360
21.06.2000 00:00:00;3878.5560
21.06.2000 00:00:00;10194.9378
21.06.2000 00:00:00;16492.5450
21.06.2000 00:00:00;10153.9091
21.06.2000 00:00:00;3703.5445
21.06.2000 00:00:00;-2683.2555
21.06.2000 00:00:00;-9136.4546
21.06.2000 00:00:00;-15600.7057
21.06.2000 00:00:00;-22060.4456
21.06.2000 00:00:00;-28525.7440
21.06.2000 00:00:00;-21996.3895
21.06.2000 00:00:00;-16638.4781
21.06.2000 00:00:00;-10646.9480
21.06.2000 00:00:00;-3257.8190
21.06.2000 00:00:00;2554.8200
29.06.2000 00:00:00;4926.5332
29.06.2000 00:00:00;10135.6772
29.06.2000 00:00:00;15303.6430
03.07.2000 00:00:00;15635.2777
04.07.2000 00:00:00;22000.5245
05.07.2000 00:00:00;27726.0966
05.07.2000 00:00:00;23535.8789
05.07.2000 00:00:00;30153.3908
05.07.2000 00:00:00;24500.2573
