TicketFee;TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
50;13.08.2008 00:00:00;425029;247;4576.2989;1;0;0.05;0.0500;4574.4542
50;13.08.2008 00:00:00;414240;161;4576.2989;1;0;0.05;0.0497;4550.8332
50;18.08.2008 00:00:00;405684;-398;-4373;2;0;0;-0.0472;-4373.1670
50;20.08.2008 00:00:00;402698;324;4554.4296;1;0;0.05;0.0500;4552.1820
50;20.08.2008 00:00:00;404188;121;4554.4296;1;0;0.05;0.0496;4518.3738
50;20.08.2008 00:00:00;417422;142;4554.4296;1;0;0.05;0.0498;4536.3618
50;20.08.2008 00:00:00;400890;207;4554.4296;1;0;0.05;0.0500;4553.4663
50;20.08.2008 00:00:00;428382;1155;4554.4296;1;0;0.05;0.0500;4552.3858
50;27.08.2008 00:00:00;421962;-566;-3797;2;0;0;-0.0423;-3797.0279
50;27.08.2008 00:00:00;424104;1123;4493.0831;1;0;0.05;0.0500;4491.7255
50;03.09.2008 00:00:00;404188;-121;-4111;2;0;0;-0.0453;-4111.1319
50;03.09.2008 00:00:00;402698;259;4041;3;0;0.10;0.0444;4031.9298
50;03.09.2008 00:00:00;400890;200;4472;3;0;0.10;0.0491;4457.0611
50;03.09.2008 00:00:00;417422;-143;-4149;2;0;0;-0.0460;-4178.0499
50;09.09.2008 00:00:00;425029;-248;-4112;2;0;0;-0.0459;-4128.3720
50;10.09.2008 00:00:00;424104;-1124;-3874;2;0;0;-0.0433;-3877.0814
50;10.09.2008 00:00:00;403721;88;3941;3;0;0.10;0.0436;3903.8400
50;10.09.2008 00:00:00;414240;132;4034;3;0;0.10;0.0451;4033.9680
50;16.09.2008 00:00:00;405317;-1910;-3632;3;0;0.05;-0.0413;-3633.7750
50;17.09.2008 00:00:00;400763;174;4313.6693;1;0;0.05;0.0499;4304.4624
50;17.09.2008 00:00:00;400020;18;4313.6693;1;0;0.05;0.0496;4279.86
50;17.09.2008 00:00:00;402360;-107;-4455;2;0;0;-0.0516;-4455.2305
50;19.09.2008 00:00:00;428382;-1156;-4001;2;0;0;-0.0463;-4004.1224
50;22.09.2008 00:00:00;414240;-139;-3804;3;0;0.05;-0.0451;-3806.6481
50;22.09.2008 00:00:00;403721;-93;-3611;3;0;0.05;-0.0429;-3623.3125
50;23.09.2008 00:00:00;405317;-2314;-3893;2;0;0;-0.0462;-3893.3050
50;24.09.2008 00:00:00;400862;154;4186.5206;1;0;0.05;0.0499;4177.8423
50;24.09.2008 00:00:00;400821;660;4186.5206;1;0;0.05;0.0500;4185.9441
50;24.09.2008 00:00:00;400877;116;4186.5206;1;0;0.05;0.0496;4152.4184
50;24.09.2008 00:00:00;400867;371;4186.5206;1;0;0.05;0.0499;4182.2819
50;24.09.2008 00:00:00;400846;69;4186.5206;1;0;0.05;0.0497;4159.7564
50;24.09.2008 00:00:00;414240;-154;-4082;2;0;0;-0.0488;-4082.2708
50;29.09.2008 00:00:00;403721;-6;-227;3;0;0.05;-0.0029;-232.1266
50;01.10.2008 00:00:00;400867;-372;-3660;2;0;0;-0.0428;-3669.7412
50;01.10.2008 00:00:00;400877;-117;-4258;2;0;0;-0.0501;-4294.3989
50;01.10.2008 00:00:00;403721;-103;-4309;2;0;0;-0.0507;-4351.0757
50;01.10.2008 00:00:00;400890;-407;-9250;2;0;0;-0.1078;-9250.2170
50;03.10.2008 00:00:00;402698;-266;-3558;3;0;0.05;-0.0419;-3558.9367
50;08.10.2008 00:00:00;400020;9;2925;3;0;0.10;0.0322;2645.73
50;08.10.2008 00:00:00;400846;-70;-3717;2;0;0;-0.0459;-3770.3877
50;08.10.2008 00:00:00;400862;-154;-3785;2;0;0;-0.0461;-3785.3585
50;08.10.2008 00:00:00;400821;-660;-3983;2;0;0;-0.0485;-3983.2310
50;10.10.2008 00:00:00;400763;-174;-3952;2;0;0;-0.0477;-3952.2398
50;14.10.2008 00:00:00;402698;-18;-244;3;0;0.05;-0.0030;-249.5956
50;15.10.2008 00:00:00;412479;270;4184.0148;1;0;0.05;0.0500;4182.8935
50;15.10.2008 00:00:00;402698;-299;-3739;2;0;0;-0.0447;-3739.4062
50;21.10.2008 00:00:00;400020;-11;-2436;3;0;0.05;-0.0328;-2618
50;22.10.2008 00:00:00;421962;351;4000.3131;1;0;0.05;0.0500;3999.3380
50;22.10.2008 00:00:00;405039;218;4000.3131;1;0;0.05;0.0498;3984.4440
50;29.10.2008 00:00:00;421962;-352;-2979;2;0;0;-0.0362;-2987.1938
50;12.11.2008 00:00:00;414227;43;4040.0624;1;0;0.05;0.0498;4023.1549
50;12.11.2008 00:00:00;412479;-271;-4269;2;0;0;-0.0530;-4284.3840
50;19.11.2008 00:00:00;405039;-218;-3634;2;0;0;-0.0457;-3634.2895
50;19.11.2008 00:00:00;433238;862;3977.9972;1;0;0.05;0.0500;3975.8112
50;19.11.2008 00:00:00;403723;134;3977.9972;1;0;0.05;0.0498;3963.5468
50;25.11.2008 00:00:00;400020;-2;-270;3;0;0.05;-0.0067;-510.54
50;26.11.2008 00:00:00;432816;1012;3856.1230;1;0;0.05;0.0500;3855.3435
50;26.11.2008 00:00:00;403723;-135;-3317;2;0;0;-0.0433;-3341.3240
50;10.12.2008 00:00:00;433238;700;3484;3;0;0.10;0.0448;3479.6720
50;10.12.2008 00:00:00;414227;-24;-1904;3;0;0.0208;-0.0253;-1964.6721
50;10.12.2008 00:00:00;432816;-1012;-3726;2;0;0;-0.0480;-3726.4110
50;17.12.2008 00:00:00;414227;-20;-1408;2;0;0;-0.0191;-1481.9689
50;17.12.2008 00:00:00;423095;913;3876.3565;1;0;0.05;0.0500;3875.685
50;23.12.2008 00:00:00;400020;-14;-3639;2;0;0;-0.0476;-3639.30
50;24.12.2008 00:00:00;405039;188;3828.5879;1;0;0.05;0.0500;3827.1189
50;07.01.2009 00:00:00;430114;897;3825.5275;1;0;0.05;0.0499;3821.3058
50;07.01.2009 00:00:00;423095;-913;-3880;2;0;0;-0.0507;-3880.25
50;20.01.2009 00:00:00;433238;-721;-3214;3;0;0.05;-0.0429;-3214.2829
50;21.01.2009 00:00:00;430114;-897;-2899;2;0;0;-0.0387;-2899.1194
50;21.01.2009 00:00:00;432816;869;3741.7654;1;0;0.05;0.0500;3739.1905
50;21.01.2009 00:00:00;404248;447;3741.7654;1;0;0.05;0.0500;3739.4268
50;21.01.2009 00:00:00;414017;119;3741.7654;1;0;0.05;0.0498;3726.7002
50;21.01.2009 00:00:00;405039;-189;-3804;2;0;0;-0.0511;-3823.9194
50;27.01.2009 00:00:00;433238;-29;-132;3;0;0.05;-0.0018;-133.6529
50;28.01.2009 00:00:00;400810;2476;3731.7847;1;0;0.05;0.0500;3731.5171
50;28.01.2009 00:00:00;414017;-120;-3465;2;0;0;-0.0468;-3494.1176
50;03.02.2009 00:00:00;433238;-812;-3550;2;0;0;-0.0478;-3550.0721
50;04.02.2009 00:00:00;432816;777;3494;3;0;0.10;0.0472;3491.5900
50;04.02.2009 00:00:00;404248;367;3339;3;0;0.10;0.0450;3332.7196
50;04.02.2009 00:00:00;400810;-2477;-3240;2;0;0;-0.0438;-3240.9736
50;18.02.2009 00:00:00;432816;1521;7129;3;0;0.2;0.0960;7127.9104
50;18.02.2009 00:00:00;404248;-814;-7451;2;0;0;-0.1004;-7451.3471
50;22.04.2009 00:00:00;427950;407;3717.5997;1;0;0.05;0.0499;3708.6219
50;22.04.2009 00:00:00;407291;755;3717.5997;1;0;0.05;0.0500;3714.0242
50;22.04.2009 00:00:00;405540;2037;3717.5997;1;0;0.05;0.0500;3717.525
50;22.04.2009 00:00:00;411936;11230;3717.5997;1;0;0.05;0.0500;3717.5148
50;22.04.2009 00:00:00;400009;2130;3717.5997;1;0;0.05;0.0500;3716.850
50;22.04.2009 00:00:00;400019;92;3717.5997;1;0;0.05;0.0495;3680
50;22.04.2009 00:00:00;430114;589;3717.5997;1;0;0.05;0.0500;3716.4533
50;22.04.2009 00:00:00;428190;676;3717.5997;1;0;0.05;0.0500;3716.6574
50;29.04.2009 00:00:00;403773;914;3755.4590;1;0;0.05;0.0500;3754.9374
50;29.04.2009 00:00:00;424093;11210;3755.4590;1;0;0.05;0.0500;3755.350
50;29.04.2009 00:00:00;424497;549;3755.4590;1;0;0.05;0.0500;3755.16
50;29.04.2009 00:00:00;414829;298;3755.4590;1;0;0.05;0.0499;3746.9019
50;06.05.2009 00:00:00;430114;-590;-2907;2;0;0;-0.0363;-2911.4852
50;06.05.2009 00:00:00;427950;178;2450;3;0;0.10;0.0304;2439.7838
50;06.05.2009 00:00:00;411936;9132;3601;3;0;0.10;0.0448;3600.8404
50;06.05.2009 00:00:00;423023;608;4014.4500;1;0;0.05;0.0500;4010.6860
50;06.05.2009 00:00:00;403711;382;4014.4500;1;0;0.05;0.0500;4011.5448
50;08.05.2009 00:00:00;411936;-7342;-2201;3;0;0.05;-0.0282;-2201.2289
