TransactionDateTime;PortfolioAsof;Shares;TransactionType;SecurityId;PerformanceScore;RebalanceScore
;17.01.2000 00:00:00;;;400061;45.49;151.28138530290700140483782479
;17.01.2000 00:00:00;;;405359;42.43;148.36213985565351755093809948
;17.01.2000 00:00:00;;;400027;27.54;112.00256993020483624934204602
;17.01.2000 00:00:00;;;403730;20.44;86.99584686728336804139931122
;17.01.2000 00:00:00;;;404161;19.28;74.091552726504556531095392555
;17.01.2000 00:00:00;;;408644;19.57;52.711955980435749221876389499
;17.01.2000 00:00:00;;;404248;17.51;44.664140414056884690419960975
;17.01.2000 00:00:00;;;408676;11.88;39.349335438042620363062352016
;17.01.2000 00:00:00;;;412620;9.91;32.702193118272865496907010276
;17.01.2000 00:00:00;;;408670;7.98;21.031852348993288590604026845
;17.01.2000 00:00:00;;;405487;7.34;19.132084788155817454198333153
;17.01.2000 00:00:00;;;414238;7.23;17.984727645683247217419483446
;17.01.2000 00:00:00;;;414435;12.64;16.432
;17.01.2000 00:00:00;;;432231;5.97;16.290220925879632911597063394
;17.01.2000 00:00:00;;;400400;11.75;15.275
;17.01.2000 00:00:00;;;421228;4.66;13.428141274707215377549173176
;17.01.2000 00:00:00;;;414013;4.83;6.279
;17.01.2000 00:00:00;;;414348;0.70;0.910
;18.01.2000 00:00:00;;;400061;54.76;268.24953214612445783018034818
;18.01.2000 00:00:00;;;428530;37.54;153.61700599277092515170676003
;18.01.2000 00:00:00;;;405359;41.75;143.99915634344297308842375053
;18.01.2000 00:00:00;;;400027;24.26;85.80318949363307918735007125
;18.01.2000 00:00:00;;;404161;17.43;59.754610529162605409642370090
;18.01.2000 00:00:00;;;403730;15.96;55.968740312772853120312724930
;18.01.2000 00:00:00;;;408644;19.20;51.758043574922187638950644730
;18.01.2000 00:00:00;;;404248;18.71;50.595308301331416640996680016
;18.01.2000 00:00:00;;;408676;11.82;38.033697974217311233885819520
;18.01.2000 00:00:00;;;412620;9.77;32.767279951213122181482261216
;18.01.2000 00:00:00;;;408670;8.24;21.796103547459252157238734418
;18.01.2000 00:00:00;;;432231;5.82;16.827591081229315832086531176
;18.01.2000 00:00:00;;;414238;6.66;16.264700809879745146553655394
;18.01.2000 00:00:00;;;405487;6.34;15.902505998274406138708374638
;18.01.2000 00:00:00;;;414435;10.92;14.196
;18.01.2000 00:00:00;;;400400;10.76;13.988
;18.01.2000 00:00:00;;;421228;3.65;10.025133233684225235374467200
;18.01.2000 00:00:00;;;414013;6.08;7.904
;18.01.2000 00:00:00;;;414348;0.32;0.416
;19.01.2000 00:00:00;;;400061;60.94;346.54075357531342300406292728
;19.01.2000 00:00:00;;;428530;36.36;148.22644131331338888836458696
;19.01.2000 00:00:00;;;405359;40.86;130.63156685177274668944895345
;19.01.2000 00:00:00;;;400027;25.20;90.16970032832807079311883666
;19.01.2000 00:00:00;;;403730;17.92;64.112238856690069805569429133
;19.01.2000 00:00:00;;;404161;15.92;56.410860303187580065049915464
;19.01.2000 00:00:00;;;408644;19.12;52.732602934637616718541574025
;19.01.2000 00:00:00;;;404248;18.48;51.846671305062121367696888795
;19.01.2000 00:00:00;;;408676;11.32;36.047593440322722090677891781
;19.01.2000 00:00:00;;;412620;7.66;24.500579640632940068747529326
;19.01.2000 00:00:00;;;408670;8.75;23.229026845637583892617449661
;19.01.2000 00:00:00;;;425095;36.55;18.275
;19.01.2000 00:00:00;;;414013;7.16;17.499712989233826213911581570
;19.01.2000 00:00:00;;;400400;12.65;16.445
;19.01.2000 00:00:00;;;432231;5.67;16.073459265947563419011338751
;19.01.2000 00:00:00;;;428361;31.03;15.515
;19.01.2000 00:00:00;;;414435;11.63;15.119
;19.01.2000 00:00:00;;;414238;5.84;14.304100476621497859541003640
;19.01.2000 00:00:00;;;428024;25.51;12.755
;19.01.2000 00:00:00;;;404195;24.73;12.365
;19.01.2000 00:00:00;;;407892;24.42;12.210
;19.01.2000 00:00:00;;;405487;4.51;10.990943695042589125087197563
;19.01.2000 00:00:00;;;421228;3.97;10.150678728903904979480941888
;19.01.2000 00:00:00;;;403790;17.84;8.920
;19.01.2000 00:00:00;;;424607;14.92;7.460
;19.01.2000 00:00:00;;;402063;13.42;6.710
;19.01.2000 00:00:00;;;404109;6.89;3.445
;19.01.2000 00:00:00;;;402331;6.26;3.130
;20.01.2000 00:00:00;;;400061;60.98;354.99909108452970150730916652
;20.01.2000 00:00:00;;;428530;38.20;168.31501646832325100744613585
;20.01.2000 00:00:00;;;405359;40.03;130.02995685604442545920546775
;20.01.2000 00:00:00;;;400027;22.08;68.713597946870104024065653246
;20.01.2000 00:00:00;;;403730;16.18;55.939094441070390067373401230
;20.01.2000 00:00:00;;;408644;19.29;51.957773677189862160960426849
;20.01.2000 00:00:00;;;404248;17.36;46.725307792038881473114967314
;20.01.2000 00:00:00;;;404161;14.62;46.532402094670910771126399008
;20.01.2000 00:00:00;;;425095;29.83;38.779
;20.01.2000 00:00:00;;;428361;29.68;38.584
;20.01.2000 00:00:00;;;408676;10.69;33.328931947733052705428396033
;20.01.2000 00:00:00;;;428024;23.10;30.030
;20.01.2000 00:00:00;;;432231;6.58;20.446973333980053652912666638
;20.01.2000 00:00:00;;;414435;10.58;13.754
;20.01.2000 00:00:00;;;412620;4.28;10.995014385862282528114296299
;20.01.2000 00:00:00;;;414013;5.90;7.670
;20.01.2000 00:00:00;;;408670;5.40;7.020
;20.01.2000 00:00:00;;;414238;3.79;4.927
;24.01.2000 00:00:00;;;400061;64.52;414.66285011810511691491031035
;24.01.2000 00:00:00;;;428530;54.67;374.48911304159077396400562469
;24.01.2000 00:00:00;;;405359;36.88;119.79777189235369500213583939
;24.01.2000 00:00:00;;;403730;18.51;72.081219922223234125917018354
;24.01.2000 00:00:00;;;408676;12.14;40.617737963693764798737174433
;24.01.2000 00:00:00;;;400027;14.79;39.854753434095633381074894557
;24.01.2000 00:00:00;;;425095;28.56;37.128
;24.01.2000 00:00:00;;;428361;28.02;36.426
;24.01.2000 00:00:00;;;428024;19.80;25.740
;24.01.2000 00:00:00;;;408644;15.81;20.553
;24.01.2000 00:00:00;;;404248;10.78;14.014
;24.01.2000 00:00:00;;;432231;4.59;13.625231729840048653267119123
;24.01.2000 00:00:00;;;404161;9.45;12.285
;24.01.2000 00:00:00;;;414435;7.25;9.425
;24.01.2000 00:00:00;;;408670;4.58;5.954
;24.01.2000 00:00:00;;;414013;4.15;5.395
;24.01.2000 00:00:00;;;412620;2.97;3.861
;24.01.2000 00:00:00;;;414238;1.25;1.625
;25.01.2000 00:00:00;;;400061;61.96;357.37063476312802520502960216
;25.01.2000 00:00:00;;;428530;49.40;284.32718471890601258953766007
;25.01.2000 00:00:00;;;405359;37.83;124.82284023921401110636480136
;25.01.2000 00:00:00;;;425095;28.85;66.384405163458687301439729392
;25.01.2000 00:00:00;;;404161;14.63;54.057807644363325036986473722
;25.01.2000 00:00:00;;;403730;14.64;48.507624893127840413350936845
;25.01.2000 00:00:00;;;408644;17.04;40.366388617163183637172076471
;25.01.2000 00:00:00;;;408676;10.77;34.355194948697711128650355166
;25.01.2000 00:00:00;;;428361;24.92;32.396
;25.01.2000 00:00:00;;;428024;19.59;25.467
;25.01.2000 00:00:00;;;400027;11.04;14.352
;25.01.2000 00:00:00;;;404248;10.99;14.287
;25.01.2000 00:00:00;;;414435;10.16;13.208
;25.01.2000 00:00:00;;;432231;3.14;8.422522268114491053909527974
;25.01.2000 00:00:00;;;408670;4.68;6.084
;25.01.2000 00:00:00;;;414013;3.13;4.069
;25.01.2000 00:00:00;;;412620;2.30;2.990
;25.01.2000 00:00:00;;;414238;-0.03;-0.039
;26.01.2000 00:00:00;;;428530;52.25;326.00630113909834750521418258
;26.01.2000 00:00:00;;;400061;53.15;240.81248552572016770903423598
;26.01.2000 00:00:00;;;405359;42.57;162.10322633981379551858593755
;26.01.2000 00:00:00;;;428361;28.30;77.282759929865550359527198994
;26.01.2000 00:00:00;;;425095;29.64;71.926179754787719120478265280
;26.01.2000 00:00:00;;;408644;21.49;65.957769230769230769230769226
;26.01.2000 00:00:00;;;428024;22.43;52.586233360111625416605591944
;26.01.2000 00:00:00;;;408676;12.92;45.598320441988950276243093928
;26.01.2000 00:00:00;;;400027;14.82;42.108833540385256043778755367
;26.01.2000 00:00:00;;;404161;12.32;37.348889370311611945004042118
;26.01.2000 00:00:00;;;403730;11.46;32.489952689041474224482636870
;26.01.2000 00:00:00;;;412620;6.78;18.577412202536027235584006593
;26.01.2000 00:00:00;;;431645;30.38;15.190
;26.01.2000 00:00:00;;;403790;26.74;13.370
;26.01.2000 00:00:00;;;404248;8.96;11.648
;26.01.2000 00:00:00;;;407892;23.23;11.615
;26.01.2000 00:00:00;;;414435;8.22;10.686
;26.01.2000 00:00:00;;;432231;3.09;8.420031364691806675397390980
;26.01.2000 00:00:00;;;402063;15.40;7.700
;26.01.2000 00:00:00;;;404109;9.41;4.705
;26.01.2000 00:00:00;;;408670;2.91;3.783
;26.01.2000 00:00:00;;;414242;6.77;3.385
